year,season_type,week,home_team,away_team,home_rank,away_rank,home_score,away_score,winner,loser,winner_rank,loser_rank,rank_delta,higher_rank_won,neutral_site
1999,regular,1,Penn State,Arizona,3,4,41,7,Penn State,Arizona,3,4,1,True,False
1999,regular,1,Miami,Ohio State,12,9,23,12,Miami,Ohio State,12,9,3,False,False
1999,regular,2,Michigan,Notre Dame,7,16,26,22,Michigan,Notre Dame,7,16,9,True,False
1999,regular,3,Ohio State,UCLA,13,14,42,20,Ohio State,UCLA,13,14,1,True,False
1999,regular,3,Purdue,Notre Dame,20,16,28,23,Purdue,Notre Dame,20,16,4,False,False
1999,regular,3,Florida State,Georgia Tech,1,10,41,35,Florida State,Georgia Tech,1,10,9,True,False
1999,regular,4,BYU,Colorado State,25,23,34,13,BYU,Colorado State,25,23,2,False,False
1999,regular,4,Miami,Penn State,8,3,23,27,Penn State,Miami,3,8,5,True,False
1999,regular,4,Florida State,NC State,1,20,42,11,Florida State,NC State,1,20,19,True,False
1999,regular,4,Florida,Tennessee,4,2,23,21,Florida,Tennessee,4,2,2,False,False
1999,regular,5,Wisconsin,Michigan,20,4,16,21,Michigan,Wisconsin,4,20,16,True,False
1999,regular,6,Michigan,Purdue,4,11,38,12,Michigan,Purdue,4,11,7,True,False
1999,regular,6,Florida,Alabama,3,21,39,40,Alabama,Florida,21,3,18,False,False
1999,regular,6,Virginia,Virginia Tech,24,8,7,31,Virginia Tech,Virginia,8,24,16,True,False
1999,regular,6,Texas,Kansas State,15,13,17,35,Kansas State,Texas,13,15,2,True,False
1999,regular,7,Michigan State,Michigan,11,3,34,31,Michigan State,Michigan,11,3,8,False,False
1999,regular,7,Ohio State,Purdue,21,17,25,22,Ohio State,Purdue,21,17,4,False,False
1999,regular,7,Tennessee,Georgia,6,10,37,20,Tennessee,Georgia,6,10,4,True,False
1999,regular,7,Minnesota,Wisconsin,25,20,17,20,Wisconsin,Minnesota,20,25,5,True,False
1999,regular,7,Florida State,Miami,1,19,31,21,Florida State,Miami,1,19,18,True,False
1999,regular,8,Virginia Tech,Syracuse,4,16,62,0,Virginia Tech,Syracuse,4,16,12,True,False
1999,regular,8,Ole Miss,Alabama,22,11,24,30,Alabama,Ole Miss,11,22,11,True,False
1999,regular,8,Purdue,Michigan State,20,5,52,28,Purdue,Michigan State,20,5,15,False,False
1999,regular,8,Penn State,Ohio State,2,18,23,10,Penn State,Ohio State,2,18,16,True,False
1999,regular,9,Wisconsin,Michigan State,17,11,40,10,Wisconsin,Michigan State,17,11,6,False,False
1999,regular,9,Purdue,Penn State,16,2,25,31,Penn State,Purdue,2,16,14,True,False
1999,regular,9,Minnesota,Ohio State,24,22,17,20,Ohio State,Minnesota,22,24,2,True,False
1999,regular,9,Alabama,Tennessee,10,5,7,21,Tennessee,Alabama,5,10,5,True,False
1999,regular,9,Texas,Nebraska,18,3,24,20,Texas,Nebraska,18,3,15,False,False
1999,regular,10,Florida,Georgia,5,10,30,14,Florida,Georgia,5,10,5,True,False
1999,regular,10,Alabama,Southern Miss,14,20,35,14,Alabama,Southern Miss,14,20,6,True,False
1999,regular,11,Tennessee,Notre Dame,4,24,38,14,Tennessee,Notre Dame,4,24,20,True,False
1999,regular,11,Nebraska,Texas A&M,9,21,37,0,Nebraska,Texas A&M,9,21,12,True,False
1999,regular,11,Michigan State,Ohio State,19,20,23,7,Michigan State,Ohio State,19,20,1,True,False
1999,regular,11,Purdue,Wisconsin,17,10,21,28,Wisconsin,Purdue,10,17,7,True,False
1999,regular,12,Alabama,Mississippi State,11,8,19,7,Alabama,Mississippi State,11,8,3,False,False
1999,regular,12,Penn State,Michigan,6,16,27,31,Michigan,Penn State,16,6,10,False,False
1999,regular,12,Nebraska,Kansas State,7,5,41,15,Nebraska,Kansas State,7,5,2,False,False
1999,regular,12,Virginia Tech,Miami,2,19,43,10,Virginia Tech,Miami,2,19,17,True,False
1999,regular,13,Ole Miss,Georgia,16,21,17,20,Georgia,Ole Miss,21,16,5,False,False
1999,regular,13,Michigan State,Penn State,15,13,35,28,Michigan State,Penn State,15,13,2,False,False
1999,regular,13,Florida,Florida State,3,1,23,30,Florida State,Florida,1,3,2,True,False
1999,regular,13,Arkansas,Mississippi State,22,12,14,9,Arkansas,Mississippi State,22,12,10,False,False
1999,regular,14,Mississippi State,Ole Miss,18,23,23,20,Mississippi State,Ole Miss,18,23,5,True,False
1999,regular,14,Texas A&M,Texas,24,7,20,16,Texas A&M,Texas,24,7,17,False,False
1999,regular,14,Virginia Tech,Boston College,2,22,38,14,Virginia Tech,Boston College,2,22,20,True,False
1999,regular,14,Georgia Tech,Georgia,20,16,51,48,Georgia Tech,Georgia,20,16,4,False,False
1999,postseason,1,Nebraska,Texas,3,21,22,6,Nebraska,Texas,3,21,18,True,True
1999,postseason,1,Alabama,Florida,8,12,34,7,Alabama,Florida,8,12,4,True,True
1999,postseason,1,Penn State,Texas A&M,11,23,24,0,Penn State,Texas A&M,11,23,12,True,True
1999,postseason,1,Oregon,Minnesota,19,18,24,20,Oregon,Minnesota,19,18,1,False,True
1999,postseason,1,Michigan,Alabama,5,8,35,34,Michigan,Alabama,5,8,3,True,True
1999,postseason,1,Georgia,Purdue,16,25,28,25,Georgia,Purdue,16,25,9,True,True
1999,postseason,1,Miami,Georgia Tech,15,20,28,13,Miami,Georgia Tech,15,20,5,True,True
1999,postseason,1,Arkansas,Texas,17,21,27,6,Arkansas,Texas,17,21,4,True,True
1999,postseason,1,Michigan State,Florida,7,12,37,34,Michigan State,Florida,7,12,5,True,True
1999,postseason,1,Nebraska,Tennessee,3,9,31,21,Nebraska,Tennessee,3,9,6,True,True
1999,postseason,1,Florida State,Virginia Tech,1,2,46,29,Florida State,Virginia Tech,1,2,1,True,True
2000,regular,1,USC,Penn State,15,22,29,5,USC,Penn State,15,22,7,True,False
2000,regular,2,Tennessee,Southern Miss,13,22,19,16,Tennessee,Southern Miss,13,22,9,True,False
2000,regular,3,Notre Dame,Nebraska,23,1,24,27,Nebraska,Notre Dame,1,23,22,True,False
2000,regular,3,Washington,Miami,15,4,34,29,Washington,Miami,15,4,11,False,False
2000,regular,4,Tennessee,Florida,11,6,23,27,Florida,Tennessee,6,11,5,True,False
2000,regular,4,Notre Dame,Purdue,21,13,23,21,Notre Dame,Purdue,21,13,8,False,False
2000,regular,4,Alabama,Southern Miss,15,25,0,21,Southern Miss,Alabama,25,15,10,False,False
2000,regular,4,UCLA,Michigan,14,3,23,20,UCLA,Michigan,14,3,11,False,False
2000,regular,5,Illinois,Michigan,19,10,31,35,Michigan,Illinois,10,19,9,True,False
2000,regular,5,Michigan State,Notre Dame,23,16,27,21,Michigan State,Notre Dame,23,16,7,False,False
2000,regular,6,Michigan,Wisconsin,9,17,13,10,Michigan,Wisconsin,9,17,8,True,False
2000,regular,6,Oregon,Washington,20,6,23,16,Oregon,Washington,20,6,14,False,False
2000,regular,7,Georgia,Tennessee,19,21,21,10,Georgia,Tennessee,19,21,2,True,False
2000,regular,7,Mississippi State,Auburn,20,15,17,10,Mississippi State,Auburn,20,15,5,False,False
2000,regular,7,Wisconsin,Ohio State,24,8,7,23,Ohio State,Wisconsin,8,24,16,True,False
2000,regular,7,Oklahoma,Texas,10,11,63,14,Oklahoma,Texas,10,11,1,True,False
2000,regular,7,Washington,Oregon State,13,23,33,30,Washington,Oregon State,13,23,10,True,False
2000,regular,7,Miami,Florida State,7,1,27,24,Miami,Florida State,7,1,6,False,False
2000,regular,8,Kansas State,Oklahoma,2,8,31,41,Oklahoma,Kansas State,8,2,6,False,False
2000,regular,8,Florida,Auburn,10,19,38,7,Florida,Auburn,10,19,9,True,False
2000,regular,8,Northwestern,Purdue,17,21,28,41,Purdue,Northwestern,21,17,4,False,False
2000,regular,9,UCLA,Oregon State,23,19,38,44,Oregon State,UCLA,19,23,4,True,False
2000,regular,9,Oregon,Arizona,7,21,14,10,Oregon,Arizona,7,21,14,True,False
2000,regular,10,Oklahoma,Nebraska,3,1,31,14,Oklahoma,Nebraska,3,1,2,False,False
2000,regular,10,Florida,Georgia,8,13,34,23,Florida,Georgia,8,13,5,True,False
2000,regular,10,NC State,Florida State,21,6,14,58,Florida State,NC State,6,21,15,True,False
2000,regular,10,Purdue,Ohio State,16,12,31,27,Purdue,Ohio State,16,12,4,False,False
2000,regular,11,Northwestern,Michigan,21,12,54,51,Northwestern,Michigan,21,12,9,False,False
2000,regular,11,Florida State,Clemson,4,10,54,7,Florida State,Clemson,4,10,6,True,False
2000,regular,11,Miami,Virginia Tech,3,2,41,21,Miami,Virginia Tech,3,2,1,False,False
2000,regular,12,Texas A&M,Oklahoma,23,1,31,35,Oklahoma,Texas A&M,1,23,22,True,False
2000,regular,12,Auburn,Georgia,22,14,29,26,Auburn,Georgia,22,14,8,False,False
2000,regular,12,Florida,South Carolina,5,21,41,21,Florida,South Carolina,5,21,16,True,False
2000,regular,12,Kansas State,Nebraska,16,4,29,28,Kansas State,Nebraska,16,4,12,False,False
2000,regular,13,Oregon State,Oregon,8,5,23,13,Oregon State,Oregon,8,5,3,False,False
2000,regular,13,Ohio State,Michigan,12,19,26,38,Michigan,Ohio State,19,12,7,False,False
2000,regular,13,Clemson,South Carolina,16,25,16,14,Clemson,South Carolina,16,25,9,True,False
2000,regular,13,Florida State,Florida,3,4,30,7,Florida State,Florida,3,4,1,True,False
2000,regular,14,Texas,Texas A&M,12,22,43,17,Texas,Texas A&M,12,22,10,True,False
2000,regular,14,Georgia,Georgia Tech,19,18,15,27,Georgia Tech,Georgia,18,19,1,True,False
2000,postseason,1,Florida,Auburn,10,18,28,6,Florida,Auburn,10,18,8,True,True
2000,postseason,1,Oklahoma,Kansas State,1,9,27,24,Oklahoma,Kansas State,1,9,8,True,True
2000,postseason,1,Oregon,Texas,7,12,35,30,Oregon,Texas,7,12,5,True,True
2000,postseason,1,Georgia Tech,LSU,17,22,14,28,LSU,Georgia Tech,22,17,5,False,True
2000,postseason,1,Oregon State,Notre Dame,4,15,41,9,Oregon State,Notre Dame,4,15,11,True,True
2000,postseason,1,Michigan,Auburn,11,18,31,28,Michigan,Auburn,11,18,7,True,True
2000,postseason,1,Virginia Tech,Clemson,6,16,41,20,Virginia Tech,Clemson,6,16,10,True,True
2000,postseason,1,Washington,Purdue,3,13,34,24,Washington,Purdue,3,13,10,True,True
