season,team,pick,pfr_player_name,position,hof,probowls,seasons_started,w_av,dr_av,games,active,bust_a,bust_b,bust_c,triple_bust,clean_hit
1982,TEN,8,Mike Munchak,G,True,9,11,93,93,159,0,0,0,0,0,1
1982,ATL,9,Gerald Riggs,RB,False,3,5,55,47,129,0,0,0,0,0,1
1982,LV,10,Marcus Allen,RB,True,6,12,104,85,222,0,0,0,0,0,1
1982,KC,11,Anthony Hancock,WR,False,0,0,11,11,59,0,1,1,1,1,0
1982,PIT,12,Walter Abercrombie,RB,False,0,4,32,32,84,0,1,0,0,0,0
1982,NO,13,Lindsay Scott,WR,False,0,1,9,9,49,0,1,1,1,1,0
1982,LAR,14,Barry Redden,RB,False,0,1,15,14,108,0,1,1,1,1,0
1982,DET,15,Jimmy Williams,LB,False,0,10,49,39,152,0,1,0,0,0,0
1982,LAR,16,Luis Sharpe,T,False,3,13,75,75,189,0,0,0,0,0,1
1982,TB,17,Sean Farrell,G,False,0,8,42,23,123,0,1,0,0,0,0
1982,NYG,18,Butch Woolfolk,RB,False,0,4,26,13,81,0,1,0,0,0,0
1982,BUF,19,Perry Tuttle,WR,False,0,0,4,4,24,0,1,1,1,1,0
1982,PHI,20,Mike Quick,WR,False,5,6,45,45,101,0,0,0,0,0,1
1982,DEN,21,Gerald Willhite,RB,False,0,1,26,26,78,0,1,0,1,0,0
1982,GB,22,Ron Hallstrom,G,False,0,9,50,47,174,0,1,0,0,0,0
1982,NYJ,23,Bob Crable,LB,False,0,3,21,21,66,0,1,0,1,0,0
1982,MIA,24,Roy Foster,G,False,2,8,70,53,165,0,0,0,0,0,1
1982,DAL,25,Rod Hill,DB,False,0,0,6,3,48,0,1,1,1,1,0
1982,CIN,26,Glen Collins,DE,False,0,0,8,8,58,0,1,1,1,1,0
1982,NE,27,Lester Williams,NT,False,0,1,13,13,46,0,1,1,1,1,0
1983,IND,1,John Elway,QB,True,9,16,140,0,234,0,0,0,0,0,1
1983,LAR,2,Eric Dickerson,RB,True,6,10,92,48,146,0,0,0,0,0,1
1983,SEA,3,Curt Warner,RB,False,3,6,60,60,100,0,0,0,0,0,1
1983,DEN,4,Chris Hinton,T,False,7,11,79,0,177,0,0,0,0,0,1
1983,LAC,5,Billy Ray Smith,LB,False,0,7,46,46,126,0,1,0,0,0,0
1983,CHI,6,Jimbo Covert,T,True,2,7,57,57,111,0,0,0,0,0,1
1983,KC,7,Todd Blackledge,QB,False,0,0,12,9,46,0,1,1,1,1,0
1983,PHI,8,Michael Haddix,RB,False,0,3,19,15,120,0,1,1,1,1,0
1983,TEN,9,Bruce Matthews,G,True,14,19,138,138,296,0,0,0,0,0,1
1983,NYG,10,Terry Kinard,DB,False,1,8,49,42,121,0,0,0,0,0,1
1983,GB,11,Tim Lewis,DB,False,0,2,21,21,51,0,1,1,1,1,0
1983,BUF,12,Tony Hunter,TE,False,0,2,11,5,47,0,1,1,1,1,0
1983,DET,13,James Jones,FB,False,0,6,42,39,135,0,1,0,0,0,0
1983,BUF,14,Jim Kelly,QB,True,5,11,103,103,160,0,0,0,0,0,1
1983,NE,15,Tony Eason,QB,False,0,3,36,34,90,0,1,0,1,0,0
1983,ATL,16,Mike Pitts,DT,False,0,7,53,11,169,0,1,0,0,0,0
1983,LAR,17,Leonard Smith,DB,False,0,8,42,23,138,0,1,0,0,0,0
1983,CHI,18,Willie Gault,WR,False,0,9,56,32,170,0,1,0,0,0,0
1983,MIN,19,Joey Browner,DB,False,6,7,74,74,145,0,0,0,0,0,1
1983,LAC,20,Gary Anderson,RB,False,1,4,42,29,111,0,0,0,0,0,1
1983,PIT,21,Gabe Rivera,NT,False,0,0,1,1,6,0,1,1,1,1,0
1983,LAC,22,Gill Byrd,DB,False,2,10,58,58,149,0,0,0,0,0,1
1983,DAL,23,Jim Jeffcoat,DE,False,0,8,57,56,227,0,1,0,0,0,0
1983,NYJ,24,Ken O'Brien,QB,False,2,7,73,72,129,0,0,0,0,0,1
1983,CIN,25,Dave Rimington,C,False,0,6,39,33,86,0,1,0,0,0,0
1983,LV,26,Don Mosebar,C,False,3,11,60,60,173,0,0,0,0,0,1
1983,MIA,27,Dan Marino,QB,True,9,16,145,145,242,0,0,0,0,0,1
1983,WAS,28,Darrell Green,DB,True,7,15,103,103,295,0,0,0,0,0,1
1984,NE,1,Irving Fryar,WR,False,5,13,80,31,255,0,0,0,0,0,1
