season,week,game_id,team,opp,third_att,third_conv,fourth_att,fourth_conv,first_downs,penalties,penalty_yards,sacks_taken,sacks_made,explosive,rz_trips,rz_td,pass_att,completions,rush_yards,pass_yards
2016,2,2016_02_PHI_CHI,CHI,PHI,10,4,1,0,16,7,60,3,2,3,4,1,29,21,64,220
2016,2,2016_02_PHI_CHI,PHI,CHI,15,3,3,3,20,5,34,2,3,3,6,3,34,21,100,180
2016,2,2016_02_SEA_LA,LA,SEA,12,3,0,0,17,9,78,3,2,3,1,0,30,18,64,219
2016,2,2016_02_SEA_LA,SEA,LA,13,4,0,0,17,10,114,2,3,2,1,0,35,22,67,239
2016,2,2016_02_SF_CAR,CAR,SF,15,7,0,0,26,8,65,1,2,6,7,4,40,24,176,353
2016,2,2016_02_SF_CAR,SF,CAR,14,4,1,0,16,6,50,2,1,3,6,3,36,17,65,237
2016,2,2016_02_TB_ARI,ARI,TB,14,6,0,0,20,3,30,1,3,6,7,4,34,18,105,311
2016,2,2016_02_TB_ARI,TB,ARI,13,5,1,0,21,5,39,3,1,2,1,1,52,27,85,221
2016,2,2016_02_TEN_DET,DET,TEN,16,7,0,0,22,17,138,4,3,7,3,1,40,22,137,238
2016,2,2016_02_TEN_DET,TEN,DET,12,5,1,1,22,12,83,3,4,5,2,2,34,25,139,224
2016,3,2016_03_ARI_BUF,ARI,BUF,15,5,1,0,25,8,50,5,4,3,4,3,51,26,88,260
2016,3,2016_03_ARI_BUF,BUF,ARI,13,4,0,0,16,9,75,4,5,5,5,3,25,14,208,89
2016,3,2016_03_ATL_NO,ATL,NO,11,5,2,2,25,4,35,2,2,6,8,5,30,20,217,225
2016,3,2016_03_ATL_NO,NO,ATL,13,7,2,1,31,5,75,2,2,7,5,5,54,36,117,359
2016,3,2016_03_BAL_JAX,BAL,JAX,13,3,1,1,18,8,58,2,4,2,2,1,40,29,84,199
2016,3,2016_03_BAL_JAX,JAX,BAL,16,6,0,0,14,7,75,4,2,1,2,2,38,24,48,168
2016,3,2016_03_CHI_DAL,CHI,DAL,10,2,1,1,21,6,45,1,0,6,4,2,49,30,78,312
2016,3,2016_03_CHI_DAL,DAL,CHI,11,5,1,1,25,4,45,0,1,3,4,4,24,19,199,248
2016,3,2016_03_CLE_MIA,CLE,MIA,15,4,0,0,21,13,91,4,1,7,7,1,39,24,169,263
2016,3,2016_03_CLE_MIA,MIA,CLE,10,2,0,0,23,8,67,1,4,5,5,4,39,25,115,311
2016,3,2016_03_DEN_CIN,CIN,DEN,12,5,1,0,20,9,69,4,2,4,4,2,31,21,143,189
2016,3,2016_03_DEN_CIN,DEN,CIN,12,6,0,0,21,5,41,2,4,3,5,4,35,23,52,303
2016,3,2016_03_DET_GB,DET,GB,14,8,1,1,22,4,86,3,2,6,5,3,41,28,50,368
2016,3,2016_03_DET_GB,GB,DET,10,5,0,0,17,4,45,2,3,3,5,4,24,15,123,201
2016,3,2016_03_HOU_NE,HOU,NE,15,6,3,0,19,6,43,2,1,0,0,0,41,24,109,175
2016,3,2016_03_HOU_NE,NE,HOU,14,4,0,0,15,3,15,1,2,4,5,3,19,11,185,97
2016,3,2016_03_LA_TB,LA,TB,13,6,0,0,18,8,69,1,2,3,5,4,26,14,137,183
2016,3,2016_03_LA_TB,TB,LA,16,8,2,2,30,9,80,2,1,5,7,5,60,36,83,389
2016,3,2016_03_MIN_CAR,CAR,MIN,16,6,2,0,18,10,65,8,2,4,1,1,36,22,105,201
2016,3,2016_03_MIN_CAR,MIN,CAR,12,3,0,0,13,6,42,2,8,0,5,1,28,18,60,153
2016,3,2016_03_NYJ_KC,KC,NYJ,15,7,1,0,18,5,59,2,0,2,5,1,33,25,72,221
2016,3,2016_03_NYJ_KC,NYJ,KC,14,7,2,1,17,3,15,0,2,2,4,0,44,20,117,188
2016,3,2016_03_OAK_TEN,LV,TEN,13,5,0,0,17,8,58,1,1,6,2,2,35,21,123,245
2016,3,2016_03_OAK_TEN,TEN,LV,12,2,1,0,19,8,70,1,1,4,3,1,33,17,181,212
2016,3,2016_03_PIT_PHI,PHI,PIT,10,4,0,0,25,10,99,0,4,4,6,4,31,23,125,301
2016,3,2016_03_PIT_PHI,PIT,PHI,11,4,2,0,14,7,77,4,0,4,3,0,44,24,29,222
2016,3,2016_03_SD_IND,IND,LAC,9,2,1,1,24,10,66,2,2,3,5,3,38,24,93,317
2016,3,2016_03_SD_IND,LAC,IND,11,4,0,0,17,10,80,2,2,5,5,1,39,26,37,315
2016,3,2016_03_SF_SEA,SEA,SF,14,9,0,0,18,6,50,2,0,5,7,4,32,22,127,291
2016,3,2016_03_SF_SEA,SF,SEA,15,4,1,1,12,4,35,0,2,2,3,2,25,14,137,119
2016,3,2016_03_WAS_NYG,NYG,WAS,9,4,0,0,26,11,128,2,2,6,6,3,38,25,120,337
2016,3,2016_03_WAS_NYG,WAS,NYG,16,7,1,1,20,8,70,2,2,6,6,2,36,22,90,313
2016,4,2016_04_BUF_NE,BUF,NE,15,7,0,0,23,6,60,2,3,2,2,1,39,27,134,244
2016,4,2016_04_BUF_NE,NE,BUF,12,1,3,2,13,9,74,3,2,1,1,0,27,17,90,187
2016,4,2016_04_CAR_ATL,ATL,CAR,13,8,0,0,25,8,77,3,1,7,8,5,37,28,90,481
2016,4,2016_04_CAR_ATL,CAR,ATL,16,7,1,1,20,6,55,1,3,5,4,3,49,31,49,331
2016,4,2016_04_CLE_WAS,CLE,WAS,12,8,1,0,26,7,101,1,3,0,3,2,40,28,163,217
2016,4,2016_04_CLE_WAS,WAS,CLE,8,4,0,0,24,9,75,3,1,4,5,4,27,21,145,156
2016,4,2016_04_DAL_SF,DAL,SF,14,6,0,0,26,6,45,2,1,4,4,3,32,23,194,234
2016,4,2016_04_DAL_SF,SF,DAL,14,8,1,0,14,5,32,1,2,5,3,2,23,16,106,189
2016,4,2016_04_DEN_TB,DEN,TB,13,3,0,0,22,9,88,4,5,2,5,3,31,19,89,218
2016,4,2016_04_DEN_TB,TB,DEN,16,5,1,0,15,9,69,5,4,1,1,1,35,17,72,143
2016,4,2016_04_DET_CHI,CHI,DET,13,5,1,0,23,8,55,2,2,2,3,2,36,28,114,294
2016,4,2016_04_DET_CHI,DET,CHI,12,4,0,0,16,10,76,2,2,1,2,0,37,23,66,199
2016,4,2016_04_IND_JAX,IND,JAX,17,9,2,0,23,7,78,6,3,2,3,3,42,27,94,190
2016,4,2016_04_IND_JAX,JAX,IND,11,3,1,1,23,11,145,3,6,1,4,3,33,19,136,195
2016,4,2016_04_KC_PIT,KC,PIT,17,8,3,2,22,7,40,4,2,2,4,2,50,30,87,270
2016,4,2016_04_KC_PIT,PIT,KC,11,6,0,0,18,9,68,2,4,6,6,6,28,22,149,289
2016,4,2016_04_LA_ARI,ARI,LA,13,6,0,0,25,6,45,3,2,6,3,1,47,27,118,302
2016,4,2016_04_LA_ARI,LA,ARI,14,6,1,0,12,9,84,2,3,5,3,2,30,18,41,247
2016,4,2016_04_MIA_CIN,CIN,MIA,15,3,1,1,18,6,40,1,5,4,4,1,31,22,77,285
2016,4,2016_04_MIA_CIN,MIA,CIN,11,2,1,0,8,7,68,5,1,2,1,1,25,15,62,160
2016,4,2016_04_NO_SD,LAC,NO,13,6,1,0,21,5,46,3,2,4,6,4,43,28,38,308
2016,4,2016_04_NO_SD,NO,LAC,18,11,1,1,21,6,34,2,3,2,5,5,36,23,83,192
2016,4,2016_04_NYG_MIN,MIN,NYG,16,8,0,0,22,6,37,0,0,5,3,3,36,26,104,262
2016,4,2016_04_NYG_MIN,NYG,MIN,12,2,2,0,17,8,69,0,0,1,2,1,45,25,78,261
2016,4,2016_04_OAK_BAL,BAL,LV,17,5,2,1,25,10,105,2,0,3,4,3,54,32,130,282
2016,4,2016_04_OAK_BAL,LV,BAL,12,3,0,0,13,12,93,0,2,2,4,4,35,25,62,199
2016,4,2016_04_SEA_NYJ,NYJ,SEA,15,7,1,1,20,7,60,4,2,1,3,2,41,23,58,247
2016,4,2016_04_SEA_NYJ,SEA,NYJ,10,3,0,0,20,7,71,2,4,6,5,3,32,23,66,288
2016,4,2016_04_TEN_HOU,HOU,TEN,12,5,1,0,20,6,59,1,1,3,4,2,37,25,115,244
2016,4,2016_04_TEN_HOU,TEN,HOU,15,7,1,0,16,11,93,1,1,4,3,2,29,13,124,196
2016,5,2016_05_ARI_SF,ARI,SF,16,5,0,0,17,7,50,1,7,4,6,4,28,11,172,116
2016,5,2016_05_ARI_SF,SF,ARI,14,4,1,1,25,4,34,7,1,2,3,3,31,18,151,135
2016,5,2016_05_ATL_DEN,ATL,DEN,12,2,3,2,19,7,78,2,6,5,4,2,28,15,122,250
2016,5,2016_05_ATL_DEN,DEN,ATL,16,4,4,4,17,8,57,6,2,1,2,1,35,23,84,183
2016,5,2016_05_BUF_LA,BUF,LA,12,4,0,0,15,7,60,2,4,4,6,3,23,12,193,112
2016,5,2016_05_BUF_LA,LA,BUF,12,4,2,0,23,6,40,4,2,6,4,1,31,21,102,243
2016,5,2016_05_CHI_IND,CHI,IND,9,2,1,0,24,10,80,0,5,5,4,2,43,33,125,397
2016,5,2016_05_CHI_IND,IND,CHI,12,3,1,1,20,9,68,5,0,8,4,2,39,28,98,298
2016,5,2016_05_CIN_DAL,CIN,DAL,12,5,1,1,27,6,49,4,1,2,2,2,41,29,96,249
2016,5,2016_05_CIN_DAL,DAL,CIN,8,4,0,0,21,7,45,1,4,4,5,4,24,18,180,222
2016,5,2016_05_HOU_MIN,HOU,MIN,13,1,1,0,16,4,15,4,2,2,3,1,42,19,59,155
2016,5,2016_05_HOU_MIN,MIN,HOU,14,7,0,0,22,9,97,2,4,5,6,3,30,22,96,255
2016,5,2016_05_NE_CLE,CLE,NE,13,5,1,0,16,5,35,2,1,3,2,2,36,20,27,235
2016,5,2016_05_NE_CLE,NE,CLE,17,9,1,0,24,5,61,1,2,6,6,4,41,28,98,403
2016,5,2016_05_NYG_GB,GB,NYG,19,9,0,0,22,6,57,0,4,4,4,2,45,23,147,259
2016,5,2016_05_NYG_GB,NYG,GB,13,4,0,0,14,6,51,4,0,1,2,1,35,18,43,178
2016,5,2016_05_NYJ_PIT,NYJ,PIT,11,2,1,0,16,4,18,3,1,1,2,1,38,25,72,244
2016,5,2016_05_NYJ_PIT,PIT,NYJ,10,5,1,0,30,1,10,1,3,2,5,4,47,34,61,375
2016,5,2016_05_PHI_DET,DET,PHI,9,3,2,2,19,2,18,4,3,2,4,3,25,19,80,164
2016,5,2016_05_PHI_DET,PHI,DET,11,5,0,0,18,14,111,3,4,4,3,2,33,25,116,230
2016,5,2016_05_SD_OAK,LAC,LV,8,2,1,0,17,4,38,2,3,7,6,4,30,21,72,351
2016,5,2016_05_SD_OAK,LV,LAC,14,5,1,1,20,6,36,3,2,5,5,3,41,25,89,302
2016,5,2016_05_TB_CAR,CAR,TB,8,1,1,1,20,7,60,0,2,6,4,2,28,18,136,278
2016,5,2016_05_TB_CAR,TB,CAR,15,6,0,0,20,5,40,2,0,2,5,1,31,18,113,204
2016,5,2016_05_TEN_MIA,MIA,TEN,11,4,0,0,8,8,83,6,0,3,3,1,18,12,51,149
2016,5,2016_05_TEN_MIA,TEN,MIA,12,5,1,0,22,5,40,0,6,4,4,4,29,20,235,163
2016,5,2016_05_WAS_BAL,BAL,WAS,15,3,3,1,18,9,65,3,1,2,3,1,47,30,118,188
2016,5,2016_05_WAS_BAL,WAS,BAL,12,3,2,1,18,4,46,1,3,3,4,1,41,29,60,250
2016,6,2016_06_ATL_SEA,ATL,SEA,11,3,2,1,22,8,66,4,1,4,4,3,42,27,52,310
2016,6,2016_06_ATL_SEA,SEA,ATL,14,5,0,0,21,3,30,1,4,3,5,3,37,25,72,261
2016,6,2016_06_BAL_NYG,BAL,NYG,18,5,2,1,21,15,111,2,1,4,6,2,48,26,98,293
2016,6,2016_06_BAL_NYG,NYG,BAL,14,4,3,3,19,7,119,1,2,4,5,3,46,32,38,397
2016,6,2016_06_CAR_NO,CAR,NO,11,3,1,1,32,5,51,2,1,3,6,5,48,27,103,305
2016,6,2016_06_CAR_NO,NO,CAR,16,8,1,1,23,10,126,1,2,6,6,5,49,34,63,460
2016,6,2016_06_CIN_NE,CIN,NE,12,5,2,1,20,7,46,2,3,5,5,2,31,21,120,237
2016,6,2016_06_CIN_NE,NE,CIN,10,4,1,1,24,6,55,3,2,6,5,4,35,29,79,358
2016,6,2016_06_CLE_TEN,CLE,TEN,14,3,2,2,16,11,69,6,2,4,4,3,43,27,40,301
2016,6,2016_06_CLE_TEN,TEN,CLE,13,7,0,0,19,7,96,2,6,5,4,4,24,17,137,270
2016,6,2016_06_DAL_GB,DAL,GB,11,3,1,1,24,7,60,2,1,6,6,3,27,18,191,233
2016,6,2016_06_DAL_GB,GB,DAL,13,7,1,0,23,5,23,1,2,3,4,1,42,31,78,294
2016,6,2016_06_DEN_SD,DEN,LAC,15,6,1,0,16,12,103,2,2,1,3,1,50,30,84,220
2016,6,2016_06_DEN_SD,LAC,DEN,13,3,1,1,15,3,20,2,2,3,6,2,29,18,99,166
2016,6,2016_06_IND_HOU,HOU,IND,11,5,0,0,26,7,59,1,3,4,5,3,39,25,158,256
2016,6,2016_06_IND_HOU,IND,HOU,14,5,1,0,19,7,42,3,1,6,6,2,32,21,161,231
