season,player_id,player,kind,touched,yards,epa,fumble_lost
2015,00-0027864,R.Mathews,rush,1,11.0,0.7346,0
2015,00-0027864,R.Mathews,rush,1,0.0,-0.4083,0
2015,00-0030061,Z.Ertz,target,1,21.0,1.5329,0
2015,00-0023564,D.Sproles,rush,1,3.0,-0.0644,0
2015,00-0031299,J.Matthews,target,1,5.0,0.1302,0
2015,00-0023564,D.Sproles,rush,1,12.0,1.1995,0
2015,00-0031299,J.Matthews,target,0,0.0,-0.3346,0
2015,00-0027864,R.Mathews,target,1,23.0,3.0915,0
2015,00-0024334,B.Marshall,target,1,15.0,-4.4157,1
2015,00-0031549,N.Agholor,target,0,0.0,-0.3976,0
2015,00-0023564,D.Sproles,target,1,0.0,1.2511,0
2015,00-0023564,D.Sproles,rush,1,3.0,-0.1661,0
2015,00-0027864,R.Mathews,rush,1,9.0,0.8844,0
2015,00-0027864,R.Mathews,rush,1,4.0,0.1142,0
2015,00-0031299,J.Matthews,target,1,4.0,0.3946,0
2015,00-0023564,D.Sproles,rush,1,1.0,1.459,0
2015,00-0031023,Q.Enunwa,target,1,6.0,0.0178,0
2015,00-0028064,B.Powell,rush,1,10.0,0.6771,0
2015,00-0028064,B.Powell,rush,1,-2.0,-0.7869,0
2015,00-0031023,Q.Enunwa,target,1,26.0,2.0781,0
2015,00-0031934,D.Smith,target,1,12.0,0.6523,0
2015,00-0024334,B.Marshall,target,1,18.0,0.6461,0
2015,00-0031934,D.Smith,target,0,0.0,-0.327,0
2015,00-0024334,B.Marshall,target,1,16.0,4.196,0
2015,00-0031299,J.Matthews,target,1,10.0,0.84,0
2015,00-0023564,D.Sproles,rush,1,0.0,-0.4843,0
2015,00-0023564,D.Sproles,target,1,9.0,-0.6246,0
2015,00-0031934,D.Smith,target,1,16.0,1.0969,0
2015,00-0028064,B.Powell,rush,1,-1.0,-0.7394,0
2015,00-0024334,B.Marshall,target,1,16.0,1.7592,0
2015,00-0027321,J.Cumberland,target,0,0.0,-0.4283,0
2015,00-0031023,Q.Enunwa,target,0,0.0,-0.8229,0
2015,00-0031934,D.Smith,target,0,0.0,-1.544,0
2015,00-0031299,J.Matthews,target,1,5.0,0.0524,0
2015,00-0031299,J.Matthews,target,0,0.0,-0.7612,0
2015,00-0023921,M.Austin,target,0,0.0,-1.3029,0
2015,00-0028064,B.Powell,rush,1,5.0,0.0156,0
2015,00-0024334,B.Marshall,target,0,0.0,-0.501,0
2015,00-0023682,R.Fitzpatrick,rush,1,5.0,0.7118,0
2015,00-0028064,B.Powell,target,1,0.0,-0.4385,0
2015,00-0028064,B.Powell,target,1,5.0,-0.2352,0
2015,00-0031934,D.Smith,target,0,0.0,-3.5334,0
2015,00-0027864,R.Mathews,rush,1,2.0,-0.5376,0
2015,00-0027864,R.Mathews,rush,1,0.0,-0.7137,0
2015,00-0023564,D.Sproles,target,0,0.0,-1.3271,0
2015,00-0030536,Z.Stacy,target,1,-5.0,-1.2311,0
2015,00-0028091,J.Kerley,target,0,0.0,-0.816,0
2015,00-0028091,J.Kerley,target,1,0.0,-1.1702,0
2015,00-0027864,R.Mathews,rush,1,6.0,0.3,0
2015,00-0023564,D.Sproles,target,1,1.0,-0.7104,0
2015,00-0027864,R.Mathews,rush,1,-2.0,-1.7794,0
2015,00-0031934,D.Smith,target,1,11.0,0.8517,0
2015,00-0031934,D.Smith,target,0,0.0,-0.5006,0
2015,00-0028064,B.Powell,rush,1,4.0,-0.3632,0
2015,00-0024334,B.Marshall,target,1,14.0,2.0145,0
2015,00-0027321,J.Cumberland,target,0,0.0,-0.4514,0
2015,00-0023682,R.Fitzpatrick,rush,1,5.0,-0.3221,0
2015,00-0028064,B.Powell,rush,1,3.0,-0.2182,0
2015,00-0027321,J.Cumberland,target,1,5.0,0.0793,0
2015,00-0023682,R.Fitzpatrick,rush,1,2.0,0.7581,0
2015,00-0028091,J.Kerley,target,0,0.0,-0.5011,0
2015,00-0024334,B.Marshall,target,1,20.0,1.9878,0
2015,00-0031023,Q.Enunwa,target,1,7.0,0.2936,0
2015,00-0024334,B.Marshall,target,1,2.0,-0.0524,0
2015,00-0023682,R.Fitzpatrick,rush,1,1.0,0.4238,0
2015,00-0024334,B.Marshall,target,0,0.0,-0.479,0
2015,00-0028091,J.Kerley,target,1,7.0,2.0041,0
2015,00-0027864,R.Mathews,rush,1,13.0,0.7407,0
2015,00-0027864,R.Mathews,rush,1,9.0,0.8314,0
2015,00-0027864,R.Mathews,rush,1,2.0,0.0793,0
2015,00-0027864,R.Mathews,rush,1,-3.0,-5.6229,1
2015,00-0028064,B.Powell,target,1,11.0,0.5567,0
2015,00-0028091,J.Kerley,target,0,0.0,-0.3646,0
2015,00-0024334,B.Marshall,target,0,0.0,-5.0564,0
2015,00-0027864,R.Mathews,rush,1,4.0,-0.2024,0
2015,00-0027864,R.Mathews,rush,1,1.0,-0.6193,0
2015,00-0031549,N.Agholor,target,0,0.0,-1.3698,0
2015,00-0031023,Q.Enunwa,target,1,6.0,0.1916,0
2015,00-0031934,D.Smith,target,0,0.0,-0.6358,0
