season,week,game_id,team,opp,home,plays,yards,top_seconds,turnovers,points_for,points_against,win
2016,2,2016_02_TEN_DET,DET,TEN,1,67,375.0,1749,1,15,16,0
2016,2,2016_02_TEN_DET,TEN,DET,0,61,363.0,1851,1,16,15,1
2016,3,2016_03_ARI_BUF,ARI,BUF,0,78,348.0,2040,5,18,33,0
2016,3,2016_03_ARI_BUF,BUF,ARI,1,61,297.0,1560,1,33,18,1
2016,3,2016_03_ATL_NO,ATL,NO,0,63,442.0,1358,1,45,32,1
2016,3,2016_03_ATL_NO,NO,ATL,1,80,476.0,1954,1,32,45,0
2016,3,2016_03_BAL_JAX,BAL,JAX,0,64,283.0,1866,2,19,17,1
2016,3,2016_03_BAL_JAX,JAX,BAL,1,63,216.0,1734,4,17,19,0
2016,3,2016_03_CHI_DAL,CHI,DAL,0,64,390.0,1481,2,17,31,0
2016,3,2016_03_CHI_DAL,DAL,CHI,1,65,447.0,2119,1,31,17,1
2016,3,2016_03_CLE_MIA,CLE,MIA,0,75,432.0,2242,1,24,30,0
2016,3,2016_03_CLE_MIA,MIA,CLE,1,65,426.0,1752,3,30,24,1
2016,3,2016_03_DEN_CIN,CIN,DEN,1,64,332.0,1926,1,17,29,0
2016,3,2016_03_DEN_CIN,DEN,CIN,0,61,355.0,1674,2,29,17,1
2016,3,2016_03_DET_GB,DET,GB,0,67,418.0,2107,1,27,34,0
2016,3,2016_03_DET_GB,GB,DET,1,50,324.0,1493,0,34,27,1
2016,3,2016_03_HOU_NE,HOU,NE,0,70,284.0,1882,3,0,27,0
2016,3,2016_03_HOU_NE,NE,HOU,1,59,282.0,1718,0,27,0,1
2016,3,2016_03_LA_TB,LA,TB,0,61,320.0,1584,2,37,32,1
2016,3,2016_03_LA_TB,TB,LA,1,84,472.0,2016,2,32,37,0
2016,3,2016_03_MIN_CAR,CAR,MIN,1,72,306.0,2092,3,10,22,0
2016,3,2016_03_MIN_CAR,MIN,CAR,0,55,213.0,1508,0,22,10,1
2016,3,2016_03_NYJ_KC,KC,NYJ,1,62,293.0,1925,1,24,3,1
2016,3,2016_03_NYJ_KC,NYJ,KC,0,66,305.0,1675,8,3,24,0
2016,3,2016_03_OAK_TEN,LV,TEN,0,61,368.0,1743,1,17,10,1
2016,3,2016_03_OAK_TEN,TEN,LV,1,63,393.0,1857,3,10,17,0
2016,3,2016_03_PIT_PHI,PHI,PIT,1,61,426.0,2096,0,34,3,1
2016,3,2016_03_PIT_PHI,PIT,PHI,0,58,251.0,1598,2,3,34,0
2016,3,2016_03_SD_IND,IND,LAC,1,66,410.0,1963,2,26,22,1
2016,3,2016_03_SD_IND,LAC,IND,0,58,352.0,1637,3,22,26,0
2016,3,2016_03_SF_SEA,SEA,SF,1,65,418.0,2157,2,37,18,1
2016,3,2016_03_SF_SEA,SF,SEA,0,57,256.0,1443,1,18,37,0
2016,3,2016_03_WAS_NYG,NYG,WAS,1,61,457.0,1594,4,27,29,0
2016,3,2016_03_WAS_NYG,WAS,NYG,0,68,403.0,2006,0,29,27,1
2016,4,2016_04_BUF_NE,BUF,NE,0,73,378.0,2171,0,16,0,1
2016,4,2016_04_BUF_NE,NE,BUF,1,52,277.0,1429,1,0,16,0
2016,4,2016_04_CAR_ATL,ATL,CAR,1,65,571.0,2029,1,48,33,1
2016,4,2016_04_CAR_ATL,CAR,ATL,0,65,380.0,1571,2,33,48,0
2016,4,2016_04_CLE_WAS,CLE,WAS,0,69,380.0,1737,3,20,31,0
2016,4,2016_04_CLE_WAS,WAS,CLE,1,56,301.0,1863,1,31,20,1
2016,4,2016_04_DAL_SF,DAL,SF,0,73,428.0,2187,0,24,17,1
2016,4,2016_04_DAL_SF,SF,DAL,1,53,295.0,1413,1,17,24,0
2016,4,2016_04_DEN_TB,DEN,TB,0,67,307.0,1884,0,27,7,1
2016,4,2016_04_DEN_TB,TB,DEN,1,66,215.0,1716,3,7,27,0
2016,4,2016_04_DET_CHI,CHI,DET,1,67,408.0,1994,0,17,14,1
2016,4,2016_04_DET_CHI,DET,CHI,0,57,265.0,1606,2,14,17,0
2016,4,2016_04_IND_JAX,IND,JAX,0,73,284.0,1959,1,27,30,0
2016,4,2016_04_IND_JAX,JAX,IND,1,65,331.0,1641,0,30,27,1
2016,4,2016_04_KC_PIT,KC,PIT,0,72,357.0,1836,2,14,43,0
2016,4,2016_04_KC_PIT,PIT,KC,1,56,438.0,1764,0,43,14,1
2016,4,2016_04_LA_ARI,ARI,LA,1,75,420.0,1929,5,13,17,0
2016,4,2016_04_LA_ARI,LA,ARI,0,55,288.0,1671,1,17,13,1
2016,4,2016_04_MIA_CIN,CIN,MIA,1,69,362.0,2282,0,22,7,1
2016,4,2016_04_MIA_CIN,MIA,CIN,0,43,222.0,1318,2,7,22,0
2016,4,2016_04_NO_SD,LAC,NO,1,67,346.0,1641,3,34,35,0
2016,4,2016_04_NO_SD,NO,LAC,0,72,275.0,1959,2,35,34,1
2016,4,2016_04_NYG_MIN,MIN,NYG,1,69,366.0,2132,1,24,10,1
2016,4,2016_04_NYG_MIN,NYG,MIN,0,63,339.0,1468,1,10,24,0
2016,4,2016_04_OAK_BAL,BAL,LV,1,81,412.0,2084,1,27,28,0
2016,4,2016_04_OAK_BAL,LV,BAL,0,54,261.0,1516,1,28,27,1
2016,4,2016_04_SEA_NYJ,NYJ,SEA,1,65,305.0,1755,3,17,27,0
