"strategy","mean_score","win_probability","mean_margin_over_best"
"contrarian_heavy",60.03935,0.163283333333333,-23.3642583333333
"random",60.059325,0.137366666666667,-23.3442833333333
"consensus_heavy",60.11585,0.105433333333333,-23.2877583333333
