"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"theta_nonfavorite",0.575903172415344,0.00177404708690776,0.128278123541041,0.313315026672085,0.487914244635683,0.580647508400878,0.668067130894332,0.813528847599923,5228.47350241859,0.999697329607783
"theta_favorite",0.629568211762131,0.00105654107793606,0.0812953206526995,0.464654055980755,0.574714338384074,0.632748899419789,0.687006185834425,0.781752007364573,5920.4991473925,1.00033594623676
"risk_difference",-0.0536650393467874,0.00202776131492995,0.15115207117455,-0.351973811847819,-0.154912197163418,-0.0528329721872632,0.0528902443370864,0.23377119901567,5556.4132481519,0.999875567826513
"risk_ratio",0.931178681075094,0.0033622960790272,0.247324740919255,0.484743632308374,0.762181764944377,0.916976111579092,1.08788380806644,1.45516538408393,5410.82162834386,0.999945771762984
"odds_ratio",1.00887734120701,0.0121640995045098,0.793308141933623,0.222124925749384,0.515353060552817,0.797851144298917,1.2602828390816,3.07769776908644,4253.27922689891,1.000215347177
"nonfavorite_better",0.36925,0.00622748874432153,0.482631903415299,0,0,0,1,1,6006.28797495144,1.00013045004841
"future_rate_difference",-0.05285,0.00231933585795744,0.185015371215335,-0.425,-0.175,-0.05,0.075,0.3,6363.38702326177,0.999783968451042
